537SIN1331;TRATADO DE ELECTRICIDAD;FRANCISCO L. SINGER;FISICA;NEOTECNICA;TRUE;FALSE
539FIS578;FISICA ATOMICA GENERAL;ST. PETER ET AL;FISICA;UNIVERSITARIA DE BS AS;TRUE;FALSE
511ROS12155;AVENTURA MATEMATICA;ADRIANA DIAZ;MATEMATICA;AIQUE;TRUE;FALSE
573ZAR1902;BIOLOGIA I;PEDRO ZARUR;BIOLOGIA;PLUS ULTRA;TRUE;FALSE
93HER2608;ATLAS DE LA HISTORIA UNIVERSAL;CLARIN;HISTORIA;THE TIMES;TRUE;FALSE
573ANT11299;BIOLOGIA PARA PENSAR;PRESIDENCIA DE LA NACION;BIOLOGIA;KAPELUSZ NORMA;TRUE;FALSE
982DIT3944;HISTORIA SOCIAL DE LA ARGENTINA CONTEMPORANEA;TORCUATO DI TELLA;HISTORIA;TROQUEL;TRUE;FALSE
036020MOR2796;DICCIONARIO GENERAL ESPANOLINGLES;ELVIRA DE MORAGAS;DICCIONARIO;LAROUSSE;TRUE;FALSE
821POE3521;LA CAZA DEL HOMBRE;VARIOS;LITERATURA;EL TORNILLO Y LA ZORRA;TRUE;FALSE
8234QUI9194;CUENTOS ESCOGIDOS;HORACIO QUIROGA;LITERATURA;AIQUE;TRUE;FALSE
